,Title,Relevant
106,change healthcare unveils nationwide cloud-based solution for clinical data retrieval,1
107,researchers pilot 'model to data' approach to developing predictive algorithms,1
108,imv inc. launches plans to advance clinical development of a vaccine candidate against covid-19,1
109,"elastic announces elasticon global, free virtual user conference to take place from october 13-15",1
110,"global iot chip in healthcare market (2020 to 2025) - featuring intel, qualcomm technologies & texas instruments among others - yahoo finance",1
111,q&a: big tech bets on healthcare during covid-19,1
112,insights on the iot chip in healthcare global market to 2025 - key drivers and restraints - wfmz allentown,1
113,worldwide iot chip in healthcare industry to 2025 - by connectivity and geography - researchandmarkets.com - business wire,1
114,governments around the world escalate precautions amid the surge,1
115,"microsoft cloud for healthcare touts telehealth, remote team collaboration",1
116,abcellera receives $175.6 million from the government of canada to discover solutions for covid-19 and build a manufacturing facility for antibody drugs,1
117,eight4nine starts 'good deeds friday'; delivers lunches to valley's urgent-care centers - kesq,1
118,trump administration's 'warp speed' plan gets this right about speeding up a covid-19 vaccine,1
119,"coronavirus vaccine tracker: know what stage johnson & johnson, moderna, oxford astra zeneca, novavax are at - times now",1
120,"government looks to òmade-in-canada solutions to mask, ventilator shortage as international supplies tighten",1
121,africa: powering health across africa through covid-19 and a changing climate,1
122,halozyme announces roche receives fda approval for phesgo‚Ñ¢ (fixed-dose combination of perjeta¬Æ and herceptin¬Æ for subcutaneous injection) utilizing halozyme's enhanze¬Æ technology for the treatment of patients with her2-positive breast cancer,1
123,monogram health and banner ì university health plans announce innovative kidney care partnership,1
124,"covid-19 shocks the digital health market, but the jolt may be positive news",1
125,"ongoing trends for internet of things (iot) in healthcare market vigorous growth[pdf], cost analysis, business strategies till 2029 (coronavirus/covid-19 business impact) - news monitoring",1
126,"increased production of operating room equipment to battle covid-19, reports tbrc",1
127,sierra leone: powerless in a pandemic - solar energy prescribed for off-grid healthcare,1
128,nyu tandon releases 3-d data tracking human interactions outside of covid hotspots,1
129,"na proactive news snapshot: genprex, pyrogenesis canada, internet of things, ozop surgical, zynerba pharmaceuticals update ¶ - proactive investors usa & canada",1
130,"na proactive news snapshot: pyrogenesis canada, internet of things, ozop surgical, zynerba pharmaceuticals update ¶ - proactive investors usa & canada",1
131,skin trouble on rise as face masks become essential,1
132,smile doctors and dental monitoring expand and accelerate partnership to provide remote monitoring to all patients during the state of emergency,1
133,virtual care startup raises $20 million to transform behavioral health for kids,1
134,henry schein enhances liquidity position with new credit facility totaling $700 million,1
135,improving global health equity by helping clinics do more with less,1
136,"baylor scott & white health receives $100,000 from reliant to support remote monitoring of covid-positive patients",1
137,trubridge signs pennsylvania healthcare network to its ehr-agnostic care management program,1
138,innomar strategies achieves iso 9001:2015 certification for its clinics and nursing services,1
139,developing algorithms to detect earliest signs of covid-19 from biometric smartwatch data,1
140,top 10 iot applications in 2020,1
141,henry schein amends and extends financing facilities,1
142,health2sync partners with sanofi to deliver a digital solution for diabetes patients & care providers,1
143,some burger king stores are testing new solution to one of the chain's most problematic menu items ì and the tech company behind it wants mcdonald's to take note,1
144,yeastar offers free remote working solutions to help smes combat covid-19,1
145,medidata partners with cti for remote source review of clinical trials in response to covid-19,1
146,7 innovative ideas for brick-and-mortar businesses reopening after lockdown,1
147,lg air purifier mask makes breathing easy,1
148,wi-fi and the pandemic: how to support access for all,1
149,10 new fitness apps and physical health companies to try out at home,1
150,in-store device ensures social-distancing,1
151,"despite covid-19 crisis, microsoft launches biodiversity effort with úplanetary computerù",1
152,5 ways to reduce customer churn for saas in a recession,1
153,covid-19 is accelerating the art worlds adoption of technology,1
154,portland business journal selects his innovations group as the 2020 manufacturing company of the year,1
155,c4 technical services offers innovative solutions to support covid-19 strategy and planning,1
156,how ua teams can thrive during covid-19,1
157,"6 challenges, 6 tech solutions to help law enforcement agencies during the pandemic and beyond - police news",1
158,xtraction services provides an update on operations amid covid-19,1
159,bioceres crop solutions subsidiary rizobacter argentina s.a. completes $17.0 million offering of series iv corporate bonds,1
160,biocon biologics gets dcgi approval for emergency use of cytosorb,1
161,how centralized log management can save your company,1
162,beyond contactless operations: human-centered customer experience,1
163,zuum transportation inc. - how $12.58 million in seed funding accelerates digital transformation in a $1.6 trillion industry during a global pandemic,1
164,new cisco and hpe credit programs toss a technology lifeline to businesses amid covid-19 crisis,1
165,making the most of cloud-connected drilling tech during covid-19 - international mining,1
166,universities and colleges select kiana digital contact tracing for safe return to campus,1
167,adesto technologies: a solid internet of things play,1
168,coronavirus business tracker: how the private sector is fighting the covid-19 pandemic,1
169,impact of covid-19 on pharma and medical device companies in germany: industry experts at infiniti research examine key implications,1
170,uaes g42 healthcare signs mou to collaborate with israels nanoscent,1
171,"the best stocks to invest in if you have $3,000",1
172,orthofix announces sponsorship of olympic gold medalist and spine patient laura wilkinson,1
173,intel advancing technology to combat coronavirus - az big media,1
174,dover fueling solutions invests in uvc technology - cstore decisions - convenience store decisions,1
175,contact tracing: the need for accurate data has never been greater,1
176,covid-19: plan to sneak into office despite a fever? this technology won#39;t let you,1
177,bay area covid-fighting startup files for $100m ipo,1
178,"antibody test for covid-19 could help to control virus spread, says singapore medtech firm",1
179,balancing public health and data privacy: where does covid-19 meet cybersecurity?,1
180,tech companies work together to come up with solutions to covid-19 pandemic - kshb,1
181,henderson company develops device to help businesses fight covid-19 - las vegas sun,1
182,òworld first smart hand sanitizer promises extra coronavirus protection,1
183,2 top coronavirus stocks to buy right now,1
184,keysight's (keys) 5g test solutions to be utilized by audix,1
185,7 tech stocks to buy on the coronavirus dip,1
186,"best chance products emerges as a key player in the us personal protective equipment market, named exclusive distributor for biocore ncov-19 real time pcr kits",1
187,near space labs expands high-altitude earth imagery to texas and ramps remote deployment,1
188,data i/o selected to present at virtual microcap leadership summit,1
189,aicpa and cpa.com team up with biz2credit to launch ppp loan forgiveness tool,1
190,"aicpa, cpa.com and biz2credit launch new platform for small business funding",1
191,mitsubishi heavy industries brandvoice: how covid-19 could accelerate industrial automation,1
192,"45 innovative solutions for beautiful, easy-to-build housing to help cities with the homelessness crisis",1
193,"aicpa, cpa.com and biz2credit launch new platform for small business funding - argus press",1
194,building an e-commerce business: lessons on moving fast,1
195,diversified maintenance offers leading deep clean and sanitizing solutions to contain the spread of covid-19,1
196,team diversified steps up to serve customers amidst covid-19,1
197,a german telecom industry client achieves 33% increase in annual revenue with market scanning and monitoring analysis: infiniti researchs latest success story,1
198,3 penny stocks that could double despite covid-19 woes,1
199,"watch: jetblues new robot rolls down plane aisles, shining uv lights on seats to kill coronavirus",1
200,a portfolio manager who's outperforming nearly all of her peers this year shares 4 high-conviction stocks driving her strong performance across 2 funds,1
201,valispace raises $2.4m lead by join capital to become the ògithub for hardware,1
202,tiledb closes $15m series a for industrys first universal data engine,1
203,episode 57: technology: the key to resiliency amid covid-19 - waste360,1
204,this 80-square-foot phone booth-like tiny room is designed to fit inside your living room and serve as your office,1
205,"supporting supply chain agility: simple concepts, complex technology",1
206,taronis fuels provides update on international business developments - globenewswire,1
207,4 hallmarks of a great managed service provider,1
208,six strategies for digitally transforming finance in an evolving business environment,1
209,bearingpoints cfo 4.0 study finds cfo functions in european companies need to accelerate digital transformation to adapt to sudden business and market changes,1
210,the coronavirus has shown that manufacturers need a stronger focus on their customers,1
211,baker hill partners with financial institutions amid covid-19,1
212,avon puri named first ever global chief digital officer of sequoia capital,1
213,sap brandvoice: leadership and innovation in times of crisis,1
214,ai algorithms are puzzled by our online behavior during the coronavirus pandemic,1
215,"moderna just put out promising early data on a coronavirus vaccine, but the ceo told us the biggest challenge lies ahead: making enough doses to immunize the world",1
216,new web developers need to know python. this 12-course mega collection covers it all,1
217,"americans say they trust major companies like clorox, amazon, and publix to keep the country going during the pandemic more than they trust the government",1
218,abaka debuted a conversational chatbot product for financial firms to integrate into their digital channels,1
219,koodoo launched a tool to help consumers navigate mortgage payment holidays,1
220,"data i/o to announce third quarter 2020 financial results on october 29, 2020",1
221,"data i/o to announce second quarter 2020 financial results on august 4, 2020",1
222,"data i/o to announce first quarter 2020 financial results on april 30, 2020",1
223,nymbus affirms commitment to all banking clients with emergency preparedness plan,1
224,design thinking continues when imagination workers work remotely,1
225,overhauls $17.5 million growth investment will help them cure your supply chains coronavirus symptoms,1
226,"recon announce fgs' joint operation with cppei, cnpc's decision supporting institute",1
227,"as coronavirus necessitates technology usage, investors seem keen on contech - construction dive",1
228,cloud-native is our future: can the vm pioneer vmware lead it?,1
229,coronavirus ruining portfolio? bet on these 4 low p/cf stocks,1
230,iab and iab tech lab create vital new role: angelina eng joins as first-ever vp of measurement and attribution - martech series,1
231,sap brandvoice: a new online experience is creating a shift in consumer choices to reduce ocean plastic,1
232,"align technologys stock is beaten down, but a strong recovery may be imminent",1
233,experts are now questioning the inevitability of a second wave of coronavirus,1
234,verizon teams with microsoft for iot push,1
235,how businesses are incorporating innovative technologies to market in pandemic,1
236,mortgage tech firms innovating through coronavirus as brokers turn digital - mortgage solutions,1
237,preparing for the post-crisis world: using ai and rpa to foster remote work,1
238,custom market research solution to drive positive business outcome for a cosmetic packaging firm | infiniti's latest success story provides unprecedented insights - business wire,1
239,wolters kluwer lien solutions launches technology solution to support main street lending program participants,1
240,designer and supply chain digital revolution: how covid-19 is changing the fashion industry,1
241,"nasa, esa and jaxa launch virtual hackathon for covid-19 solutions",1
242,pqshield raises $7m for quantum-ready cryptographic security solutions,1
243,astrazeneca starts trial of antibody treatment for covid-19 - reuters,1
244,ferrari banks on coronavirus testing and phones to restart production - cnet,1
245,mit solve launches global challenge around health security and pandemics,1
246,coronavirus mask shortages leave people with makeshift solutions,1
247,los angeles-based talespin nabs $15 million for its extended reality-based workforce training tools,1
248,health systems can look to contracts for untapped savings,1
249,locumtenens.com and se healthcare partnership offers innovative solution to physician burnout crisis,1
250,canadian scientists make breakthrough in coronavirus vaccine effort,1
251,i'm a toxicologist. here's why trump's disinfectant tips scared the hell out of me.,1
252,"from a dermatologist: how to beat úmaskne,ù dry hands, and other safety-related skin problems",1
253,united physicians: a unified voice advocating for the needs of physicians by physicians for physicians,1
254,a joint research team in toronto has successfully isolated the virus causing covid-19,1
255,the federal government should invest more in university research to help fight covid-19 (opinion),1
256,3 uplifting lessons vcs learned during a crazy 2020,1
257,businesses lose millions annually due to inefficient workflows - here's how purchase order flow management can help | quantzig - business wire,1
258,this startup is fighting air pollution with ai,1
259,cafm tech evolves as organizations adopt remote operations - thisweekinfm,1
260,did covid-19 steal your sales? this is how 9 latin american startups successfully entered e-commerce,1
261,staying ahead of the b2b ecosystem disruption in emerging asia,1
262,3 things to consider before taking your candidate sourcing virtual,1
263,"adobe cio stoddard: ai bots can òcut toil, reduce demands for it help",1
264,12 best sales engagement solutions for 2020,1
265,how ibm is automating it to help companies maintain business continuity during crises,1
266,"pipedrive unveils new leadership, redesign and new solutions to coincide with 10th anniversary",1
267,the race to the finish line,1
268,industrial firms need to give their customers a digital experience,1
269,digital adoption accelerated,1
270,the high risk heroics behind making sure you get new gadgets this fall,1
271,leveraging crm solutions to enable remote sales teams to operate effectively,1
272,"sap brandvoice: intelligent technologies, happy customers: how to use data to put your customers first",1
273,sap brandvoice: how to keep trains running with the precision of a swiss watch,1
274,global organizations continue to select sap¬Æ successfactors¬Æ solutions to modernize human resources,1
275,python charmer? data science whizz? linux engineer? there are a bunch of exciting career opportunities waiting within,1
276,python charmer? data science whizz? linux engineer? get a load of these exciting career opportunities waiting for you,1
277,remote working: what it means for rpa (robotic process automation),1
278,iit bombay develops it solutions to help with physical distancing,1
279,round up the òanti-vaxxers? enlist religious leaders? bill gates warns us needs to brainstorm ways to reduce òvaccine hesitancy,1
280,covid-19: immunity system the key defence,1
281,chinese police now look like robocop with thermal helmets to combat coronavirus[video],1
282,front line heroes,1
283,digital health,1
284,govt failing to channel help to the most needy,1
285,òwe can get it done here: africas tech scene tackles virus,1
286,adriana cohen: trump and team step up,1
287,'we can get it done here': african tech tackles coronavirus locally,1
288,how one woman is making her mark in health-tech - the national,1
289,network leaders reimagine brands post-covid future - agency 100 - mm&m - medical marketing and media,1
290,track and treat: israel mobilises startup tech against coronavirus second wave,1
291,6 remote patient monitoring lessons learned during covid-19,1
292,"5g tech blamed by conspiracy theories for causing coronavirus actually offers promising solutions, health experts claim",1
293,òcoronathon winners rush to find solutions,1
294,innovative wearable devices offer patients a new way to manage their conditions,1
295,young researchers back on track,1
296,cosmetics/skin care market could exceed us $750 billion by 2025,1
297,billionaire steven cohen bets big on these 3 stocks,1
298,reasons why healthcare must invest in medical equipment safeguards,1
299,groundbreaking covid-19 test requires just an apple watch,1
300,world's first next-generation protein sequencing device to accelerate the study of diseases and pandemics,1
301,how conversational ai helps to relieve pressure from coronavirus,1
302,nurse recalls how elderly woman refused to see her husband as he died of coronavirus,1
303,irish companies come out in force to help during covid-19 pandemic,1
304,we know enough about the problems in research to start demanding solutions,1
305,boe announces new eyesafe display solutions achieving industry leading low blue light and full color performance,1
306,tcl announces new eyesafe display solutions as screen time continues to increase,1
307,coronavirus outbreak: best test to analyze the futuristic capabilities of technology - analytics insight,1
308,extreme networks delivers access to virtual health services for 1.5m citizens in madrid,1
309,india: how coronavirus sparked a wave of innovation,1
310,responding to covid-19: infinitis recent article outlines key takeaways for the us healthcare industry from italys response flows,1
311,transitioning to remote work at warp speed: the digital revolution is underway in governments across the world,1
312,with a little help from globalisation,1
313,ultrasonic soundwaves create touch-free tech solutions,1
314,bipartisan tikes act would improve telehealth access for kids,1
315,a different fight-back,1
316,helping governments and citizens respond during these extraordinary times,1
317,medical research is broken: here's how we can fix it,1
318,"internet of things in healthcare market trend 2020 ì covid-19 impact ì industry research update, future scope, size estimation, revenue, pricing trends, growth opportunity, regional outlook and forecast to 2024 - bulletin line",1
319,docker and microsoft collaborate to help first-responder developers build a way out of crisis,1
320,"as smart cities evolve, so does the role of technologists in government",1
321,strata decision technology completes acquisition of epsi,1
322,"accenture acquires revolutionary security, provider of cybersecurity services for critical infrastructure",1
323,"china market update: if chinese equities rally in a forest and no one is invested, who makes the money? week in review",1
324,hkstp global matching 2020 to unlock tremendous business and investment opportunities to hong kong and overseas tech ventures - olean times herald,1
325,campus health project (chp) launches to meet demand surge for critical higher education covid-19 testing capacity,1
326,avacta expands rapid sars-cov-2 antigen test manufacturing capacity,1
327,best buy (bby) strong on e-commerce & strategic efforts,1
328,why 5g is the first òg for business,1
329,how public health experts are harnessing the power of community-led solutions to tackle the covid-19 pandemic,1
330,how healthcare companies can minimize the impact of covid-19 using healthcare market access assessment: a success story of infinitis healthcare market intelligence solution,1
331,nihon kohden releases video laryngoscope in u.s. for faster intubation during covid,1
332,crisis pharmacy-finding tool launches nationally amid covid-19 related service interruptions,1
333,"daiichi sankyo, inc. and stanley black & decker donate to healthcare ready, expanding nonprofits capacity to strengthen and prepare us healthcare supply chain during covid-19",1
334,payspan partners with aquina health to offer new financing options for healthcare providers,1
335,"emergent connect, a leader in cloud-based imaging solutions today, announced the appointment of john logioco as head of growth, effective july 21st, 2020",1
336,"to support covid-19 healthcare frontline workers, simtutor/simtics responds with access to simulation-based training to help workers fight the global pandemic",1
337,meeting the challenges of today and tomorrow with azure ai,1
338,business process management (bpm) market to reach usd 21.41 billion by 2026; companies engage in introducing upgraded versions of products to boost sales | fortune business insights‚Ñ¢ - globenewswire,1
339,"change healthcare launches covid-19 information hub to help providers and payers navigate administrative, data, and financial challenges",1
340,gus òbreakthrough accelerator to source solutions for covid-19,1
341,healthcare cios can save lives by deploying contact tracing thoughtfully,1
342,clinical equipment leader agiliti is supporting front line response to covid-19,1
343,"taiwan hospital taps ai, iot and cloud to keep away covid-19 - futureiot",1
344,vsms ecg patch receives us fda 'emergency use authorisation' for patients being treated for covid-19,1
345,"fargo tech company, university of minnesota team up on emergency ventilators - inforum",1
346,mallinckrodt supports investigator-initiated study at massachusetts general hospital to assess effectiveness of inhaled nitric oxide in patients with severe acute respiratory distress syndrome due to covid-19,1
347,the need for speed: expediting availability of mobile health solutions amid covid-19,1
348,s3 connected health deploy covid-19 track and trace tool in irish health service,1
349,s3 connected health deploy covid-19 clinical support tool in irish health service,1
350,mozilla announces the first three covid-19 solutions fund recipients,1
351,5 things you can do now to future-proof your medtech business - medical device and diagnostics industry,1
352,cyprus hospital to deploy dlt-based medical data management,1
353,more than 100 employees at boston area hospitals test positive for covid-19,1
354,"xtechsearch: army picks top 10 tech innovators ¬´ breaking defense - defense industry news, analysis and commentary - breaking defense",1
355,diagnostic tests for covid-19 ì improving accuracy and global harmonisation,1
356,a former disney executive shares 4 of the most brilliant ideas he's seen for coping with the coronavirus,1
357,news24.com | 45 puppies dead as deadly parvovirus hits police dog unit for a second time,1
358,"coronavirus: develop solutions to fight covid-19 keeping a fixed timeframe in mind, says harsh vardhan",1
359,israeli medtech company develops device to prevent mechanical ventilation complications,1
360,chromadex announces study results showing nutritional protocol including nicotinamide riboside plus standard of care reduces recovery time in covid-19 patients by nearly 30%,1
361,japanese technology offers answers to a crisis,1
362,bloom energy powering two california sites in response to covid-19 pandemic,1
363,portable hospital to vaccines: low-cost covid solutions from universities,1
364,"africa: from chatbots to online markets, africans fight covid-19",1
365,israel's mismanagement of coronavirus testing clouds exit strategy talk,1
366,meet 11 israel-founded ny startups helping bust coronavirus challenges,1
367,how christians are hacking their way to coronavirus help,1
368,deep learning enables identification and optimization of rna-based tools for myriad applications,1
369,clinicians in singapore develop robot for faster covid-19 nasal swabbing,1
370,3 compelling penny stocks with at least 50% upside potential,1
371,now is the time for the us to prepare for the next medical threat,1
372,hpe supports growing demand for remote workforce rollouts in wake of covid-19 impact,1
373,patientping secures $60 million in series c funding to continue expansion of national electronic notifications network,1
374,change healthcare gives providers free access to lab orders and results for covid-19 tests,1
375,leading biosciences teams with donnelley financial solutions to create innovative study tool for clinical trial monitoring during covid-19 pandemic,1
376,apollo hospitals ready to administer 1 million covid-19 vaccines per day - moneycontrol,1
377,"the global iot market is expected to reach a value of usd 1256.1 billion by 2025 from usd 690 billion in 2019 at a cagr of 10.53%, during the period 2020-2025 - globenewswire",1
378,youth delivers covid-19 hacks,1
379,analysts answer: how will coronavirus impact technology investment across verticals?,1
380,china market update: foreign investors take flight from mainland stocks on last day of stock connect before chinese new year,1
381,mahindra racing lists out partners' achievements in dealing with coronavirus,1
382,spok appoints brett shockley to board of directors,1
383,kontrols covid-19 technology receives positive lab results for live covid-19 testing,1
384,coronavirus: new rapid tests to be rolled out in nhs hospitals after government secures deal with british firm,1
385,covid-19: icmr deploys ibm#39;s watson to expedite responses from testing,1
386,"xeris extends $0 copay for gvoke‚Ñ¢ pfs for people with diabetes through may 31, 2020",1
387,imhans launches online training module for parents of children with developmental issues,1
388,ai advantages in the wake of the pandemic,1
389,solutionreach appoints dan simenc as chief revenue officer,1
390,powerhouse to expand covid-19 facilities maintenance services as allied biosciences first national service partner,1
391,vocera to host webinar highlighting importance of human-centered leadership,1
392,"collegis, llc acquires education management solutions",1
393,transact secures boha! solutions order for large sushi operator,1
394,waystar launches analytics and business intelligence platform ahead of schedule,1
395,israeli innovators harness artificial intelligence technologies to curb the global covid-19 pandemic,1
396,wuhan days: what i learned about blockchain from two months under lockdown,1
397,soc using telemedicine to help contain the spread of coronavirus,1
398,banyan pledges $1 million to enable over 100 patient isolation rooms with virtual care,1
399,"u.k. lagging behind on mandatory face masks, warns nobel scientist venkatraman ramakrishnan",1
400,sap brandvoice: want a resilient organization? digital transformation is essential,1
401,smith micro enhances viewspot¬Æ platform with touchless features,1
402,india expected to have covid-19 vaccine in next few months: harsh vardhan - hindustan times,1
403,people trust companies more than the government to handle a crisis î and it shows just how much corporate america is stepping up to tackle the coronavirus pandemic,1
404,congress considers actions to enforce mask-wearingîand punish states that wont,1
405,working on a covid-19 related product design? apply for this innovation grant,1
406,new york city's mta urges apple to further protect riders during pandemic,1
407,africa roundup: africas tech ecosystem responds to covid-19,1
408,7 innovative ideas for safer schools in the covid era,1
409,"the webs a threat to democracy? think again, taiwan says. - the christian science monitor",1
410,innovations and best practices built over years will help find solutions to covid,1
411,"filtration efficiency, effectiveness, and availability of n95 face masks for covid-19 prevention",1
412,"coronavirus: new life, and new birthing procedures, amidst the lockdown",1
413,"israel team, working with drdo to develop rapid testing, to come to india",1
414,sourcing personal protective equipment during the covid-19 pandemic,1
415,fashionistas embrace chic face masks in street style snaps taken at new york fashion week,1
416,news 3/18/20,1
417,surgical gowns cost my hospital 40 cents before the pandemic. now theyre $9.,1
418,financial innovation labs can solve covid-19 challenges,1
419,"mbas 2020: moving forward, together",1
420,remark ai's research and development team led by dr. xiaoyun yang wins three champion awards at eccv 2020,1
421,government of jordan selects accela cloud technology to safely reopen businesses amid covid-19 pandemic,1
